Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2021-04-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","29304000","Methionine","Kgs",67,117.08,0.16
"2018-07-01","China","CHN","156","Asia","142","Eastern Asia","30","84219900","Othr Parts Of Fltrng/Purfyng Mchnry","Kgs",182.15,360.33,0.52
"2025-10-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","73110090","Other Pressure Containers For Transport Or Storage Of Compressed Gases","Kgs",6107,0.6,0.07
"2017-09-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","39191000","Self-Adhsv Plts Etc In Rls,Wdth < = 20Cm","Kgs",89.81,113.14,0.18
"2020-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","63041940","Bed Sheets And Bed Covers Of Cotton, Handloom","Nos",5.91,11.18,0.02
"2024-08-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","39081011","Flake (Chip)","Kgs",17725,0.41,0.05
"2024-12-01","Maldives","MDV","462","Asia","142","Southern Asia","34","63079011","Dress Materials Of Cotton Hand Printed","Kgs",5,0,0
"2020-01-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","20082000","Pine Apples Prepared Or Preserved","Kgs",0.66,0.58,0
"2025-08-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","68052040","Other Abrasive Paper","Kgs",1242,0.02,0
"2024-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","84472090","Knitting Machines,N.E.S.","Nos",24,0.01,0
"2025-04-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","57023210","Carpets,Carpeting And Rugs","Sqm",2153,0.17,0.02
"2021-07-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","8013100","Cashen Nuts Fresh/Dried In Shell","Kgs",0.07,0.36,0
"2017-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","15121910","Sunflower Oil Edible Grade","Kgs",14,14.57,0.02
"2016-11-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","9101110","Fresh","Kgs",1,1.07,0
"2015-09-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","33049950","Turmeric Preparations","Kgs",1.45,1.88,0
"2018-12-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","73062100","Welded, Of Stainless Steel","Kgs",6.41,30.73,0.04
"2019-11-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","57050023","Durries Of Wool","Sqm",0.01,0.15,0
"2025-07-01","Oman","OMN","512","Asia","142","Western Asia","145","72199012","Sheets And Plts,Medium 3 Mm To 4.75 Mm,Wrkd","Kgs",21450,0.43,0.05
"2018-02-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","72222011","Bright Bars-Chromium Type","Kgs",8.66,13.16,0.02
"2019-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84198190","Othr Machinry,Plant And Equipment For Makinghot Drinks Or For Cooking/Heating Food","Nos",0,0.04,""
"2017-11-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","62031200","Suits Of Synthetic Fibres","Nos",0.51,4.32,0.01
"2021-02-01","China","CHN","156","Asia","142","Eastern Asia","30","29181320","Metroprolol Tartrate","Kgs",12.23,352.91,0.49
"2020-12-01","Turkiye","TUR","792","Asia","142","Western Asia","145","28432900","Other Compound Of Silver","Kgs",0.37,14.94,0.02
"2019-06-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","61046200","Trsrs,Bibs,Brc Ovrlls,Brchs,Shrts Of Cotn","Nos",0.7,1.35,0
"2018-04-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","32041751","Pigment Blue 15 (Pathalocyanine Blue)","Kgs",106.3,403.14,0.61
"2015-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","19041090","Other Papd Foods Obtnd By Swlno/Rstng Of Crls","Kgs",237.26,148.83,0.23
"2019-04-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","73079390","Non Galvanised","Kgs",3.43,6.39,0.01
"2017-05-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","40139020","Inner Tubes For Motor Cycles","Nos",27.4,21.89,0.03
"2017-05-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","90049090","0Thers","Kgs",1.69,31.21,0.05
"2025-09-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","76042910","Hrd Drwn Bare Almnm Condctrs Stl Re-Infrcd","Kgs",11,0.16,0.02
"2016-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","52115120","Furnishing Fabrics ( Excl Pile/ Chenille Fabrics )","Sqm",5.14,8.26,0.01
"2024-04-01","Maldives","MDV","462","Asia","142","Southern Asia","34","28332500","Copper Sulphate","Kgs",1,0,0
"2024-04-01","Uzbekistan","UZB","860","Asia","142","Central Asia","143","29333990","Other Cmpnds Cntng An Unfused Pyrdn Ring (W/N Hydrgntd ) In Structure","Kgs",525,0.09,0.01
"2015-08-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","32041139","Other Disperse Red","Kgs",11.78,54.31,0.08
"2017-05-01","Maldives","MDV","462","Asia","142","Southern Asia","34","82013000","Mattocks Picks Hoes And Rakes","Kgs",0.02,0.06,""
"2021-05-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","90172010","Drwng And Mrkng Out Instrmnts;Pantograph","Nos",11.1,1.87,0
"2018-04-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","64039990","Lthr Sandals With Othr Sole","Prs",15.31,134.06,0.2
"2019-12-01","Oman","OMN","512","Asia","142","Western Asia","145","76169990","Others Articles Of Aluminium N.E.S.","Kgs",6.48,29.34,0.04
"2016-05-01","Israel","ISR","376","Asia","142","Western Asia","145","39232910","Sacks And Bags (Incl Cones)Of Othr Plastics Of Poly (Vinyl Chloride)","Kgs",0.03,0.04,""
"2018-11-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","55032000","Staple Fibres Of Polyester Nt Crd/Cmbd","Kgs",1036.91,1019.82,1.42
"2025-06-01","Lebanon","LBN","422","Asia","142","Western Asia","145","85016410","Ac Generators(Alterntrs) Of An Output >750 Kva But<=2000 Kva","Nos",3,0.29,0.03
"2025-01-01","Mongolia","MNG","496","Asia","142","Eastern Asia","30","30043913","Dexamethasone","Kgs",433,0.06,0.01
"2025-07-01","Cyprus","CYP","196","Asia","142","Western Asia","145","62044290","Othr Dresses Of Cotton","Nos",30,0,0
"2021-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","44089010","Sheets For Plywood","Kgs",5.5,1.98,0
"2021-12-01","Kuwait","KWT","414","Asia","142","Western Asia","145","63021090","All Other Bed Linens Knitted Or Crocheted","Kgs",0.26,1.08,0
"2025-07-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","24013000","Tobacco Refuse","Kgs",29400,0.36,0.04
"2019-05-01","Turkiye","TUR","792","Asia","142","Western Asia","145","90258010","Hydrometers And Similar Floating Instruments","Nos",0.33,9.03,0.01
"2018-12-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","41131000","Leather Further Of Goats/Kids","Kgs",56.9,1283.27,1.81
"2015-09-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84801000","Moulding Boxes Fr Metal Foundry","Kgs",0.01,0.04,""
"2018-05-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","84099930","Fuel Injectn Eqpmnt Excl Injctn Pumps","Kgs",1,27.46,0.04
"2025-09-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","96050010","Travel Sets For Personal Toilet","Nos",18000,0.01,0
"2016-07-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","84137099","Others","Nos",0,0.85,0
"2018-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","96099090","Othr Pncls;Pstls,Charcoalsand Chalks","Kgs",21.22,40.88,0.06
"2015-12-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","85411000","Diodes,Other Than Photosensitive Or Light Emitting Diodes","Nos","",0.01,""
"2018-04-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","15079010","Soya Bean Oil Of Edible Grade","Kgs",30.75,29.57,0.05
"2015-09-01","Nepal","NPL","524","Asia","142","Southern Asia","34","15119090","Other Refined Palm Oil","Kgs",12.06,9.16,0.01
"2017-10-01","Turkiye","TUR","792","Asia","142","Western Asia","145","40094200","Tubes,Pipes,Andhoses Of Vulcnsd Rubr Reinforced Otherwse Combined With Other Matarials With Fittings","Kgs",0.04,0.22,0
"2015-12-01","Turkiye","TUR","792","Asia","142","Western Asia","145","73194010","Safety Pins","Kgs",0.01,0.02,""
"2020-06-01","Lebanon","LBN","422","Asia","142","Western Asia","145","41071900","Other Whole Hids/Skins","Kgs",4,40.22,0.05
"2025-07-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","85369090","Other","Nos",951032,2.13,0.25
"2017-02-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","17021190","Lacts And Lacts Syrp Contng 99%Or Mre Lacts Othr Than Solid Form","Kgs",0,0.01,""
"2021-02-01","Oman","OMN","512","Asia","142","Western Asia","145","21069040","Sugr-Syrp Contng Flavrng/Colrng Mtrl Nes","Kgs",0.61,0.59,0
"2018-09-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","34031100","Prpns For The Trtmnt Of Txtl Matrls Leather Furskins/Other Materials Contng Petrolium Oils/Oil Obtnd From Bitmns","Kgs",16,30.6,0.04
"2016-06-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","63022190","Other Bed Linen, Printed: Of Cotton, Other Than Handloom","Kgs",0.59,2.75,0
"2020-03-01","Qatar","QAT","634","Asia","142","Western Asia","145","8109030","Sapota (Chico)Fresh","Kgs",5.4,4.25,0.01
"2020-08-01","Nepal","NPL","524","Asia","142","Southern Asia","34","32159020","Ball Pen Ink","Kgs",0.18,0.67,0
"2017-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","50050011","Yrn Spn Frm Slk Wst Othr Thn Noil Slk Contng >=85% By Wt Of Slk Wst.","Kgs",2.25,22.5,0.03
"2015-06-01","Turkiye","TUR","792","Asia","142","Western Asia","145","44219090","*All Other Articles Of Wood","Kgs",5.11,13.51,0.02
"2025-03-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","91021100","Wrst-Wtchs,Electrly Operated,W/N Incrprtng Stop-Wtch Fclty With Mchncl Display Only","Nos",722,0.08,0.01
"2017-03-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","84148090","Others","Nos",0.01,73.73,0.11
"2020-09-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","68029900","Other Stone","Kgs",101.96,28.09,0.04
"2024-08-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","32041211","Acid Yellows(Azo)","Kgs",5201,0.08,0.01
"2016-11-01","Kuwait","KWT","414","Asia","142","Western Asia","145","8043000","Pineapples Fresh Or Dried","Kgs",1.57,0.83,0
"2025-07-01","Jordan","JOR","400","Asia","142","Western Asia","145","32049000","Othr Synthetic Organic Colorng Matter","Kgs",5,0,0
"2018-11-01","China","CHN","156","Asia","142","Eastern Asia","30","68141010","Cut Mica Condenser Film Of Plates","Kgs",0.24,2.18,0
"2021-04-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","84099949","Other Parts Of Diesel/Semi Diesel Engines","Kgs",0.89,1.71,0
"2019-03-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","39269091","Othr Article Of Plastic Of Polyurethn Foam","Kgs",0.02,0.03,""
"2018-10-01","Japan","JPN","392","Asia","142","Eastern Asia","30","54083290","Othr Artficl Fbrcs","Sqm",0.1,0.27,0
"2017-11-01","Nepal","NPL","524","Asia","142","Southern Asia","34","54078119","Unblechd Othr Wovn Fbrcs","Sqm",2.04,2.39,0
"2021-03-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","85361020","Swtch Fuse Unitsof Swtch Rating Above 15 Amps High Ruptrng Capacity/Rewireable","Nos",0.02,0.8,0
"2016-09-01","Bahrain","BHR","48","Asia","142","Western Asia","145","84811000","Pressure-Reducing Valves","Kgs",0.06,0.29,0
"2019-05-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","62143000","Shwls,Scrvs,Mufflers Etc Of Synthtc Fbrs","Nos",0.1,0.1,0
"2025-04-01","Oman","OMN","512","Asia","142","Western Asia","145","85364900","Other Relays","Nos",467,0.19,0.02
"2025-08-01","China","CHN","156","Asia","142","Eastern Asia","30","32159020","Ball Pen Ink","Kgs",11405,0.7,0.08
"2021-09-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","71069290","All Other Semi Manufactured Forms Of Slvr","Kgs",0.02,11.35,0.02
"2018-12-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","71039990","Other Stone Cut(Topaz Aquamarine Etc)","Ctm",11.19,2.69,0
"2015-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","39095000","Polyurethanes","Kgs",5.88,9.11,0.01
"2017-07-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","52051410","Grey","Kgs",373.16,809.45,1.26
"2025-04-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","19059010","Pastries And Cakes","Kgs",29914,0.44,0.05
"2024-11-01","Turkiye","TUR","792","Asia","142","Western Asia","145","55041019","Other Artificial Staple Fibres Nt Crd/Combd Of Flame Retaradant Viscose Rayon Obtd Frm Wood Ot Bamboo","Kgs",126041,2.05,0.24
"2020-06-01","Bahrain","BHR","48","Asia","142","Western Asia","145","3061720","Vannamei Shrimp (Litopenaeus Vannamei)","Kgs",18,74,0.1
"2021-06-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","30041030","Amoxycyllin In Capsules, Injections Etc.","Kgs",6.05,92.61,0.13
"2020-06-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","90251990","Others","Nos",37.05,57.18,0.08
"2016-12-01","China","CHN","156","Asia","142","Eastern Asia","30","84143000","Compressors Usd In Reprigerating Equipment","Nos",0,0.07,""
"2017-09-01","Japan","JPN","392","Asia","142","Eastern Asia","30","40122010","Used Pnmtc Tyres For Buses/Lorries/Earth Moving Equipment Incl Light Commrcl Vehicl","Nos",0.01,0.73,0
"2020-06-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","85023100","Othr Generating Sets; Wind Powered","Nos",0,2.5,0
"2024-08-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29225090","Other Frusemide Aminodial Domperidone","Kgs",500,0.44,0.05
"2015-09-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","38089390","Other Herbicides-Anti-Sprouting Products","Kgs",50,1021.22,1.54
"2020-03-01","Yemen","YEM","887","Asia","142","Western Asia","145","71171990","Other","Kgs",0.03,14.39,0.02
"2018-11-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","38089191","Repelant For Insects Such As Flies,Mosquto","Kgs",22.01,98.1,0.14
"2024-10-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","73141490","Others","Kgs",8,0.04,0
"2015-07-01","Turkiye","TUR","792","Asia","142","Western Asia","145","76151030","Other Table, Kitchen Or Other Household Articles","Kgs",0.8,0.98,0
"2021-02-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","69029020","Graphite Carbon Bricks And Shapes","Ton",0.02,12.98,0.02
"2015-04-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","32041941","Azoic Diazo Compnt 12 (Fst Scrlt G Bse","Kgs",0.3,0.83,0
"2016-03-01","China","CHN","156","Asia","142","Eastern Asia","30","59011020","Prepared Painting Canvas","Sqm",38.68,91.29,0.14
"2021-07-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","72210090","Brght Bars N.E.S.","Kgs",106.2,184.16,0.25
"2025-04-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84836090","Others","Nos",3202,0.31,0.04
"2024-05-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","28321090","Other Sodium Sulphite","Kgs",1,0,0
"2016-06-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","85258090","Other","Nos",0.31,2.4,0
"2024-08-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","84211999","Other Centrifuges","Nos",15,0.15,0.02
"2025-07-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","72021100","Fero-Manganese,Carbon Contng>2% By Weight","Kgs",2369000,16.17,1.88
"2017-04-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84099949","Other Parts Of Diesel/Semi Diesel Engines","Kgs",5.27,13.23,0.02
"2020-04-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84219900","Othr Parts Of Fltrng/Purfyng Mchnry","Kgs",74.44,122.07,0.16
"2019-10-01","Georgia","GEO","268","Asia","142","Western Asia","145","27101990","Other Petroleum Oils And Oils Obtaine Frombituminous Minerals Nes","Kgs",0.11,69.45,0.1
"2021-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","69032090","Others","Ton",0.02,11.72,0.02
"2025-07-01","Kuwait","KWT","414","Asia","142","Western Asia","145","63079020","Made Up Artcls Of Cotton","Kgs",137,0.01,0
"2017-07-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","83014010","Combination Locks","Kgs",14.46,23.04,0.04
"2020-04-01","Cyprus","CYP","196","Asia","142","Western Asia","145","12074090","Other Sesamum Seeds W/N Broken","Kgs",38,51.91,0.07
"2019-03-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","32100090","Othr Paint Varnsh Incl Enml Laqursanddstmpr Prprd Watr Pgmnt For Finshng Lethr N.E.S.","Kgs",0.35,0.65,0
"2020-02-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","39219099","Othr Plts,Shts,Film Foil,Strip Etc Nes Other","Kgs",2.07,3.86,0.01
"2025-01-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84762120","Automatc Bevereg-Vendng Machns Incorporating Heating Devices","Nos",29,0.04,0.01
"2017-05-01","Japan","JPN","392","Asia","142","Eastern Asia","30","84482000","Prts And Accssrs Of Mchns Of Hdg No.8444/Of Their Auxlry Mchnry","Kgs",11.33,43.27,0.07
"2015-03-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","54075300","Wovn Fabrics Of Yarns Of Different Colourscntng By Wt>=85% Textured Polestr Flmnts","Sqm",1.79,4.25,0.01
"2016-03-01","Kuwait","KWT","414","Asia","142","Western Asia","145","39209939","Plate Sheet Film Foil And Strip Of Copolymerof Vinyl Chlorideand Acetate Other","Kgs",0.04,0.1,0
"2020-07-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","53091910","Dyed Flax Wovn Fabrcs Contng Flax >= 85%","Sqm",0.14,0.77,0
"2024-06-01","Yemen","YEM","887","Asia","142","Western Asia","145","76072090","Other Backed Allumnm Foil","Kgs",275,0.01,0
"2015-05-01","Turkiye","TUR","792","Asia","142","Western Asia","145","54072040","Printed Wven Fbrcs From Strip/The Like","Sqm",39.05,24.64,0.04
"2019-02-01","Bahrain","BHR","48","Asia","142","Western Asia","145","72283024","Bars And Rods Of Tool And Die Steel","Kgs",0.4,2.58,0
"2015-07-01","Qatar","QAT","634","Asia","142","Western Asia","145","8109010","Pomegranates Fresh","Kgs",30.09,61.79,0.1
"2024-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","22029930","Beverages Containing Milk","Ltr",5658,0.12,0.01
"2024-04-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","73061919","Other","Kgs",6789,0.1,0.01
"2024-10-01","China","CHN","156","Asia","142","Eastern Asia","30","73209020","Spring Pins","Kgs",264,0.04,0
"2020-01-01","Oman","OMN","512","Asia","142","Western Asia","145","15159040","Fxd Veg Oils Of Edble Grade Viz. Mngo Krnlmahua,Rce Brn Oil","Kgs",0.49,0.69,0
"2016-05-01","Bahrain","BHR","48","Asia","142","Western Asia","145","33030090","Other Perfume And Toilet Waters","Kgs",0.17,19.57,0.03
